directory,file_name,variable_name,variable_type,description
data/,drillingdata.rda,date_of_drilling,character,The date when drilling was carried out.
data/,drillingdata.rda,water_point_created,character,"Indicates whether the water point has been created (""Yes"" or ""No"")."
data/,drillingdata.rda,latitude,numeric,The geographic latitude of the drilling site.
data/,drillingdata.rda,longtude,numeric,The geographic longitude of the drilling site.
data/,drillingdata.rda,use_of_waterpoint,character,"The intended use of the water point (e.g., for drinking, irrigation, etc.)."
data/,drillingdata.rda,other_useage,character,Any additional usage of the water point not covered by the standard categories.
data/,drillingdata.rda,funding_source,character,"The source of funding for the drilling project (e.g., government, NGO, private)."
data/,drillingdata.rda,wrb1a_form_completed,character,Indicates whether the WRB1A form for the drilling project has been completed.
data/,drillingdata.rda,contract_signed,character,Whether a contract has been signed for the drilling project.
data/,drillingdata.rda,community_agreement,character,Whether an agreement with the community has been made regarding the water point.
data/,drillingdata.rda,gov_supervisor_available,character,Indicates whether a government supervisor is available during the drilling process.
data/,drillingdata.rda,drilling_contractor,character,The name of the contractor responsible for the drilling.
data/,drillingdata.rda,driller_licensed,character,Indicates whether the driller is licensed to carry out the drilling.
data/,drillingdata.rda,staff_experienced,character,Indicates whether the staff involved in the drilling project are experienced.
data/,drillingdata.rda,drilling_rig_model,character,The model of the drilling rig used for the project.
data/,drillingdata.rda,compressor_specs,character,Specifications of the compressor used during the drilling.
data/,drillingdata.rda,equipment_condition,character,"The condition of the drilling equipment (e.g., new, used, needs repair)."
data/,drillingdata.rda,safety_features_condition,character,The condition of the safety features of the equipment.
data/,drillingdata.rda,equipment_capability,character,The overall capability of the equipment used in drilling.
data/,drillingdata.rda,equipment_capability_specs,character,Specifications related to the equipment’s capabilities.
data/,drillingdata.rda,ppe_available,character,Indicates whether personal protective equipment (PPE) is available for the workers.
data/,drillingdata.rda,drilling_equipment_image,character,An image of the drilling equipment used in the project.
data/,drillingdata.rda,location_selection_methodology,character,The methodology used to select the drilling location.
data/,drillingdata.rda,hydrogeological_study_done,character,Indicates whether a hydrogeological study has been done at the drilling site.
data/,drillingdata.rda,geophysical_survey_done,character,Indicates whether a geophysical survey has been done at the site.
data/,drillingdata.rda,min_distance_50m_from_contamination,character,The minimum distance (in meters) the drilling site is from contamination sources (50 meters or more).
data/,drillingdata.rda,distance_from_contamination,character,The distance of the drilling site from any contamination sources.
data/,drillingdata.rda,location_accessible,character,Indicates whether the site is accessible for drilling.
data/,drillingdata.rda,location_suitable_for_drilling,character,"Indicates whether the site is suitable for drilling (e.g., no obstacles)."
data/,drillingdata.rda,distance_from_water_bodies,character,"The distance of the drilling site from nearby water bodies (rivers, lakes, etc.)."
data/,drillingdata.rda,location_photo,character,A photograph of the drilling site location.
data/,drillingdata.rda,perimeter_fence,character,Indicates whether there is a perimeter fence around the site for security.
data/,drillingdata.rda,staff_protected,character,"Indicates whether the staff are protected from potential risks (e.g., fencing, safety measures)."
data/,drillingdata.rda,parking_area,character,Indicates whether a parking area is available for vehicles at the site.
data/,drillingdata.rda,emergency_access,character,Indicates whether there is easy emergency access to the site.
data/,drillingdata.rda,suitable_distance_from_power_lines,character,Indicates whether the site is located at a suitable distance from power lines.
data/,drillingdata.rda,distance,character,The distance from a reference point or key feature to the drilling site.
data/,drillingdata.rda,materials_stored_safely,character,Indicates whether the materials are stored safely at the site.
data/,drillingdata.rda,chemicals_stored_safely,character,Indicates whether chemicals are stored safely on-site.
data/,drillingdata.rda,first_aid_kit,character,Indicates whether a first aid kit is available at the site.
data/,drillingdata.rda,fire_extinguisher,character,Indicates whether a fire extinguisher is available at the site.
data/,drillingdata.rda,adquate_welfare_facilities,character,"Indicates whether the welfare facilities (toilets, etc.) are adequate for the workers."
data/,drillingdata.rda,welfare_facilities_distance,character,"The distance of the welfare facilities (e.g., toilets) from the drilling site."
data/,drillingdata.rda,site_setup_preliminaries_completed,character,Indicates whether the preliminary setup activities for drilling have been completed.
data/,drillingdata.rda,rig_setup_properly,character,Indicates whether the drilling rig has been set up properly.
data/,drillingdata.rda,reference_point,character,A reference point used for the drilling site’s coordinates or location.
data/,drillingdata.rda,reference_point_height,numeric,The height of the reference point above or below sea level.
data/,drillingdata.rda,rig_level_method,character,The method used to level the drilling rig at the site.
data/,drillingdata.rda,rig_setup_problems,character,Any issues encountered during the setup of the drilling rig.
data/,drillingdata.rda,setup_problems,logical,Boolean indicating whether any setup problems were encountered.
data/,drillingdata.rda,drill_rod_length,numeric,The length of the drill rods used in the drilling operation.
data/,drillingdata.rda,min_diameter_177mm,character,The minimum diameter of the borehole (177mm).
data/,drillingdata.rda,min_diameter,character,The minimum diameter of the borehole for drilling.
data/,drillingdata.rda,casing_stored_properly,character,Indicates whether the casing materials are stored properly.
data/,drillingdata.rda,where_stored,character,The location where the casing materials are stored.
data/,drillingdata.rda,why_not_properly_stored,logical,Indicates why the casing materials were not stored properly (if applicable).
data/,drillingdata.rda,index_1,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,rod_number,numeric,The number of rods used during the drilling process.
data/,drillingdata.rda,depth_from_1,numeric,The starting depth (in meters) for the first drilling operation.
data/,drillingdata.rda,depth_to_1,numeric,The ending depth (in meters) for the first drilling operation.
data/,drillingdata.rda,circulation_method,character,The method used for circulating fluids during drilling.
data/,drillingdata.rda,drill_bit_type,character,The type of drill bit used during drilling.
data/,drillingdata.rda,drilling_diameter_mm,numeric,The diameter of the borehole in millimeters.
data/,drillingdata.rda,time_taken_in_minutes,numeric,The total time taken for drilling (in minutes).
data/,drillingdata.rda,drilling_comments,character,Comments related to the drilling process.
data/,drillingdata.rda,water_strike_in_miters,numeric,The depth at which water was first encountered during drilling (in meters).
data/,drillingdata.rda,index_2,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,depth_from_2,numeric,The starting depth (in meters) for the second drilling operation.
data/,drillingdata.rda,depth_to_2,numeric,The ending depth (in meters) for the second drilling operation.
data/,drillingdata.rda,temp_casing_material,character,The material used for the temporary casing in the borehole.
data/,drillingdata.rda,temp_casing_diameter,numeric,The diameter of the temporary casing (in millimeters).
data/,drillingdata.rda,index_3,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,depth_from_3,numeric,The starting depth (in meters) for the third drilling operation.
data/,drillingdata.rda,depth_to_3,numeric,The ending depth (in meters) for the third drilling operation.
data/,drillingdata.rda,rock_or_soil_type,character,The type of rock or soil encountered at the drilling site.
data/,drillingdata.rda,colour,character,The color of the rock or soil encountered during drilling.
data/,drillingdata.rda,weathering,character,The level of weathering observed in the rock or soil encountered.
data/,drillingdata.rda,grain_size_description,character,A description of the grain size of the soil or rock.
data/,drillingdata.rda,sorting,character,"The sorting characteristics of the soil or rock (e.g., well-sorted, poorly sorted)."
data/,drillingdata.rda,additional_description,character,Any additional description related to the geological formation or drilling process.
data/,drillingdata.rda,formation_name,character,The name of the geological formation encountered during drilling.
data/,drillingdata.rda,index_4,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,hole_depth_1,numeric,The depth of the hole for the first section of drilling (in meters).
data/,drillingdata.rda,discharge_rate_1,numeric,The discharge rate of water from the borehole (in liters per minute or other units).
data/,drillingdata.rda,discharge_measurement_method,character,The method used to measure the discharge rate of the borehole.
data/,drillingdata.rda,ec_ms_cm_1,numeric,The electrical conductivity of the water at the first measurement point (in mS/cm).
data/,drillingdata.rda,tds_mgl_1,numeric,The total dissolved solids (TDS) in the water at the first measurement point (in mg/L).
data/,drillingdata.rda,ph_1,numeric,The pH of the water at the first measurement point.
data/,drillingdata.rda,temp_celcius_1,numeric,The temperature of the water at the first measurement point (in °C).
data/,drillingdata.rda,comments_1,character,"Comments related to the first measurement point (e.g., water quality, observations)."
data/,drillingdata.rda,borehole_depth_miters,numeric,The total depth of the borehole (in meters).
data/,drillingdata.rda,water_level,numeric,The water level in the borehole after drilling (in meters).
data/,drillingdata.rda,measurement_date,character,"The date when measurements were taken for water level, discharge, etc."
data/,drillingdata.rda,borehole_suitable_further_use,character,"Whether the borehole is suitable for further use (e.g., for a pump, additional development)."
data/,drillingdata.rda,installation_design_available,character,Whether a design is available for installing equipment in the borehole.
data/,drillingdata.rda,design_agreed_by_driller,character,Whether the design was agreed upon by the driller.
data/,drillingdata.rda,date_casing_installation,character,The date when the casing was installed in the borehole.
data/,drillingdata.rda,materials_meet_standards,character,Whether the materials used in the drilling process meet established standards.
data/,drillingdata.rda,materials_pre_inspected,character,Whether the materials used in the drilling process were pre-inspected.
data/,drillingdata.rda,Index (8),numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,inner_diameter,numeric,The inner diameter of the casing (in millimeters).
data/,drillingdata.rda,outer_diameter,numeric,The outer diameter of the casing (in millimeters).
data/,drillingdata.rda,material_1,character,The material used for the first section of the casing.
data/,drillingdata.rda,slot_aperture,numeric,The size of the slot aperture in the casing (in millimeters).
data/,drillingdata.rda,end_cap_fitted,character,Whether an end cap was fitted to the casing.
data/,drillingdata.rda,centralisers_fitted,character,Whether centralizers were fitted in the borehole casing.
data/,drillingdata.rda,casing_connection_type,character,"The type of connection used for the casing segments (e.g., threaded, welded)."
data/,drillingdata.rda,index_9,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,depth_from_4,numeric,The starting depth (in meters) for the fourth drilling operation.
data/,drillingdata.rda,depth_to_4,numeric,The ending depth (in meters) for the fourth drilling operation.
data/,drillingdata.rda,casing_inner_diameter,numeric,The inner diameter of the casing (in millimeters).
data/,drillingdata.rda,casing_material,character,The material of the casing used for the borehole.
data/,drillingdata.rda,casing_material_strength,character,The strength of the casing material used in the borehole.
data/,drillingdata.rda,slotted,character,Indicates whether the casing is slotted for water entry.
data/,drillingdata.rda,gravel_pack_clean,character,Indicates whether the gravel pack is clean and free of contaminants.
data/,drillingdata.rda,gravel_pack_quality,character,The quality of the gravel pack used in the borehole.
data/,drillingdata.rda,index_10,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,depth_from_5,numeric,The starting depth (in meters) for the fifth drilling operation.
data/,drillingdata.rda,depth_to_5,numeric,The ending depth (in meters) for the fifth drilling operation.
data/,drillingdata.rda,gravel_min_grain_size,numeric,The minimum grain size of the gravel used in the pack (in millimeters).
data/,drillingdata.rda,gravel_max_grain_size,numeric,The maximum grain size of the gravel used in the pack (in millimeters).
data/,drillingdata.rda,gravel_pack_final_level,numeric,The final level of the gravel pack after installation (in meters).
data/,drillingdata.rda,static_water_level_pre_dev,numeric,The static water level before development work begins (in meters).
data/,drillingdata.rda,index_11,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,duration,numeric,The total duration of the drilling process (in hours or days).
data/,drillingdata.rda,method,character,"The method used for the drilling process (e.g., rotary, percussion)."
data/,drillingdata.rda,index_12,numeric,An index value for referencing in the dataset.
data/,drillingdata.rda,time,numeric,The amount of time taken for specific drilling operations (in minutes).
data/,drillingdata.rda,lift_depth,numeric,The depth at which the lift occurs during the drilling operation (in meters).
data/,drillingdata.rda,discharge_rate,numeric,The discharge rate of water from the borehole at a later measurement point (in liters per minute).
data/,drillingdata.rda,ec_ms_cm_3,numeric,The electrical conductivity of the water at a later measurement point (in mS/cm).
data/,drillingdata.rda,tds_mg_l_2,numeric,The total dissolved solids (TDS) in the water at a later measurement point (in mg/L).
data/,drillingdata.rda,ph_3,numeric,The pH of the water at a later measurement point.
data/,drillingdata.rda,temp_c_2,numeric,The temperature of the water at a later measurement point (in °C).
data/,drillingdata.rda,turbidity_ntu,numeric,The turbidity of the water (cloudiness) measured in NTU (Nephelometric Turbidity Units).
data/,drillingdata.rda,sediment,character,The amount or type of sediment in the water at a later measurement point.
data/,drillingdata.rda,static_water_level_post_dev,numeric,The static water level after development work is done (in meters).
data/,drillingdata.rda,final_borehole_design_summary,character,"A summary of the final borehole design, including all technical and engineering details."
